Corps,General Effect,Visual,Music,Total
Carolina Crown,38.950,28.950,29.175,97.075
Blue Devils,38.850,29.400,29.400,97.650
Bluecoats,38.800,29.000,29.125,96.925
The Cadets,38.200,28.450,29.250,95.900
Santa Clara Vanguard,37.150,28.200,28.500,93.850
Blue Knights,36.700,27.150,28.000,91.850
Phantom Regiment,35.900,27.400,27.025,90.325
Madison Scouts,35.750,26.450,26.550,88.750
The Cavaliers,35.100,26.900,26.325,88.325
Boston Crusaders,34.500,26.400,25.900,86.800
Blue Stars,33.950,25.450,25.750,85.150
Crossmen,33.900,25.800,25.325,85.025
