Corps,General Effect,Visual,Music,Total
Carolina Crown,39.450,29.600,29.250,98.300
Blue Devils,39.050,29.700,29.300,98.050
The Cadets,38.750,28.600,29.600,96.950
Santa Clara Vanguard,38.650,29.150,29.050,96.850
Phantom Regiment,37.200,28.450,27.600,93.250
Bluecoats,36.950,27.850,28.550,93.350
The Cavaliers,36.150,27.150,27.200,90.500
Madison Scouts,35.550,26.900,27.650,90.100
Boston Crusaders,35.800,27.450,27.150,90.400
Blue Knights,35.150,26.600,26.000,87.750
Spirit of Atlanta,34.300,25.900,26.200,86.400
Blue Stars,33.700,25.650,26.100,85.450
